# color images
# file: 'rgbd_dataset_freiburg3_structure_texture_far.bag'
# timestamp filename
1341839113.657637 rgb/1341839113.657637.png
1341839113.693575 rgb/1341839113.693575.png
1341839113.725606 rgb/1341839113.725606.png
1341839113.757458 rgb/1341839113.757458.png
1341839113.793718 rgb/1341839113.793718.png
1341839113.825830 rgb/1341839113.825830.png
1341839113.861553 rgb/1341839113.861553.png
1341839113.894400 rgb/1341839113.894400.png
1341839113.925550 rgb/1341839113.925550.png
1341839113.961614 rgb/1341839113.961614.png
1341839113.993616 rgb/1341839113.993616.png
1341839114.025642 rgb/1341839114.025642.png
1341839114.061534 rgb/1341839114.061534.png
1341839114.093617 rgb/1341839114.093617.png
1341839114.129556 rgb/1341839114.129556.png
1341839114.161678 rgb/1341839114.161678.png
1341839114.193605 rgb/1341839114.193605.png
1341839114.229673 rgb/1341839114.229673.png
1341839114.261690 rgb/1341839114.261690.png
1341839114.293564 rgb/1341839114.293564.png
1341839114.329671 rgb/1341839114.329671.png
1341839114.361622 rgb/1341839114.361622.png
1341839114.397666 rgb/1341839114.397666.png
1341839114.429583 rgb/1341839114.429583.png
1341839114.461610 rgb/1341839114.461610.png
1341839114.497561 rgb/1341839114.497561.png
1341839114.529492 rgb/1341839114.529492.png
1341839114.565482 rgb/1341839114.565482.png
1341839114.597648 rgb/1341839114.597648.png
1341839114.629596 rgb/1341839114.629596.png
1341839114.665607 rgb/1341839114.665607.png
1341839114.697721 rgb/1341839114.697721.png
1341839114.730054 rgb/1341839114.730054.png
1341839114.765560 rgb/1341839114.765560.png
1341839114.797510 rgb/1341839114.797510.png
1341839114.833570 rgb/1341839114.833570.png
1341839114.865530 rgb/1341839114.865530.png
1341839114.897742 rgb/1341839114.897742.png
1341839114.933721 rgb/1341839114.933721.png
1341839114.965565 rgb/1341839114.965565.png
1341839114.997678 rgb/1341839114.997678.png
1341839115.033675 rgb/1341839115.033675.png
1341839115.065634 rgb/1341839115.065634.png
1341839115.101577 rgb/1341839115.101577.png
1341839115.133455 rgb/1341839115.133455.png
